year,state,pct,sex,median_wage,STATEFP,NAME,region,value
2001,LA,0.6984126984126984,Female,440,22,Louisiana,louisiana,0.6984126984126984
2001,MA,0.691304347826087,Female,636,25,Massachusetts,massachusetts,0.691304347826087
2001,MD,0.7398843930635838,Female,640,24,Maryland,maryland,0.7398843930635838
2001,ME,0.7681818181818182,Female,507,23,Maine,maine,0.7681818181818182
2001,MI,0.6450867052023121,Female,558,26,Michigan,michigan,0.6450867052023121
2001,MN,0.7054589082183563,Female,588,27,Minnesota,minnesota,0.7054589082183563
2001,MO,0.69931034482758625,Female,507,29,Missouri,missouri,0.69931034482758625
2001,MS,0.654281098546042,Female,405,28,Mississippi,mississippi,0.654281098546042
2001,MT,0.7308970099667774,Female,440,30,Montana,montana,0.7308970099667774
2001,NC,0.6946454413892909,Female,480,37,North Carolina,north carolina,0.6946454413892909
2001,ND,0.6833073322932918,Female,438,38,North Dakota,north dakota,0.6833073322932918
2001,NE,0.6681159420289855,Female,461,31,Nebraska,nebraska,0.6681159420289855
2001,NH,0.687960687960688,Female,560,33,New Hampshire,new hampshire,0.687960687960688
2001,NJ,0.653,Female,653,34,New Jersey,new jersey,0.653
2001,NM,0.7554347826086957,Female,486.5,35,New Mexico,new mexico,0.7554347826086957
2001,NV,0.7289972899728997,Female,538,32,Nevada,nevada,0.7289972899728997
2001,NY,0.6808510638297872,Female,576,36,New York,new york,0.6808510638297872
2001,OH,0.6879063719115734,Female,529,39,Ohio,ohio,0.6879063719115734
2001,OK,0.6835066864784547,Female,460,40,Oklahoma,oklahoma,0.6835066864784547
2001,OR,0.7130102040816326,Female,559,41,Oregon,oregon,0.7130102040816326
2001,PA,0.6725,Female,538,42,Pennsylvania,pennsylvania,0.6725
2001,RI,0.72,Female,576,44,Rhode Island,rhode island,0.72
2001,SC,0.6818181818181818,Female,480,45,South Carolina,south carolina,0.6818181818181818
2001,SD,0.6790490341753344,Female,457,46,South Dakota,south dakota,0.6790490341753344
2001,TN,0.7023121387283237,Female,486,47,Tennessee,tennessee,0.7023121387283237
2001,TX,0.6666666666666666,Female,490,48,Texas,texas,0.6666666666666666
2001,UT,0.6786427145708582,Female,510,49,Utah,utah,0.6786427145708582
2001,VA,0.6725181598062954,Female,555.5,51,Virginia,virginia,0.6725181598062954
2001,VT,0.7686622320768662,Female,520,50,Vermont,vermont,0.7686622320768662
2001,WA,0.6554913294797687,Female,567,53,Washington,washington,0.6554913294797687
2001,WI,0.6459627329192547,Female,520,55,Wisconsin,wisconsin,0.6459627329192547
2001,WV,0.6482758620689655,Female,423,54,West Virginia,west virginia,0.6482758620689655
2001,WY,0.6452064380685795,Female,461,56,Wyoming,wyoming,0.6452064380685795
2002,AK,0.676378772112383,Female,650,02,Alaska,alaska,0.676378772112383
2002,AL,0.6575342465753424,Female,480,01,Alabama,alabama,0.6575342465753424
2002,AR,0.6953846153846154,Female,452,05,Arkansas,arkansas,0.6953846153846154
2002,AZ,0.6824644549763034,Female,576,04,Arizona,arizona,0.6824644549763034
2002,CA,0.7172995780590717,Female,680,06,California,california,0.7172995780590717
2002,CO,0.6988082340195017,Female,645,08,Colorado,colorado,0.6988082340195017
2002,CT,0.675,Female,675,09,Connecticut,connecticut,0.675
2002,DC,0.663,Female,663,11,District of Columbia,district of columbia,0.663
2002,DE,0.7365269461077845,Female,615,10,Delaware,delaware,0.7365269461077845
2002,FL,0.6866059817945384,Female,528,12,Florida,florida,0.6866059817945384
2002,GA,0.7428571428571429,Female,520,13,Georgia,georgia,0.7428571428571429
2002,HI,0.72,Female,576,15,Hawaii,hawaii,0.72
2002,IA,0.6947227788911156,Female,520,19,Iowa,iowa,0.6947227788911156
2002,ID,0.711764705882353,Female,484,16,Idaho,idaho,0.711764705882353
2002,IL,0.6658959537572254,Female,576,17,Illinois,illinois,0.6658959537572254
2002,IN,0.6501950585175552,Female,500,18,Indiana,indiana,0.6501950585175552
2002,KS,0.7152145643693107,Female,550,20,Kansas,kansas,0.7152145643693107
2002,KY,0.7077140835102619,Female,500,21,Kentucky,kentucky,0.7077140835102619
2002,LA,0.661849710982659,Female,458,22,Louisiana,louisiana,0.661849710982659
2002,MA,0.700312174817898,Female,673,25,Massachusetts,massachusetts,0.700312174817898
2002,MD,0.696149843912591,Female,669,24,Maryland,maryland,0.696149843912591
2002,ME,0.7001347708894878,Female,519.5,23,Maine,maine,0.7001347708894878
2002,MI,0.6670520231213873,Female,577,26,Michigan,michigan,0.6670520231213873
2002,MN,0.7930607187112764,Female,640,27,Minnesota,minnesota,0.7930607187112764
2002,MO,0.7368421052631579,Female,560,29,Missouri,missouri,0.7368421052631579
2002,MS,0.7346613545816733,Female,461,28,Mississippi,mississippi,0.7346613545816733
2002,MT,0.6358381502890174,Female,440,30,Montana,montana,0.6358381502890174
2002,NC,0.7414285714285714,Female,519,37,North Carolina,north carolina,0.7414285714285714
2002,ND,0.7075757575757575,Female,467,38,North Dakota,north dakota,0.7075757575757575
2002,NE,0.6779184247538678,Female,482,31,Nebraska,nebraska,0.6779184247538678
2002,NH,0.6857142857142857,Female,576,33,New Hampshire,new hampshire,0.6857142857142857
2002,NJ,0.72,Female,720,34,New Jersey,new jersey,0.72
2002,NM,0.7142857142857143,Female,500,35,New Mexico,new mexico,0.7142857142857143
2002,NV,0.764,Female,573,32,Nevada,nevada,0.764
2002,NY,0.6811111111111111,Female,613,36,New York,new york,0.6811111111111111
2002,OH,0.7197943444730077,Female,560,39,Ohio,ohio,0.7197943444730077
2002,OK,0.7352941176470589,Female,500,40,Oklahoma,oklahoma,0.7352941176470589
2002,OR,0.7063197026022305,Female,570,41,Oregon,oregon,0.7063197026022305
2002,PA,0.710625,Female,568.5,42,Pennsylvania,pennsylvania,0.710625
2002,RI,0.7261072261072261,Female,623,44,Rhode Island,rhode island,0.7261072261072261
2002,SC,0.7032348804500703,Female,500,45,South Carolina,south carolina,0.7032348804500703
2002,SD,0.6911544227886057,Female,461,46,South Dakota,south dakota,0.6911544227886057
2002,TN,0.7132243684992571,Female,480,47,Tennessee,tennessee,0.7132243684992571
2002,TX,0.7123287671232876,Female,520,48,Texas,texas,0.7123287671232876
2002,UT,0.6762028608582574,Female,520,49,Utah,utah,0.6762028608582574
2002,VA,0.6936416184971098,Female,600,51,Virginia,virginia,0.6936416184971098
2002,VT,0.6933333333333334,Female,520,50,Vermont,vermont,0.6933333333333334
2002,WA,0.6833333333333333,Female,615,53,Washington,washington,0.6833333333333333
2002,WI,0.6716604244694132,Female,538,55,Wisconsin,wisconsin,0.6716604244694132
2002,WV,0.6549401197604791,Female,437.5,54,West Virginia,west virginia,0.6549401197604791
2002,WY,0.631578947368421,Female,480,56,Wyoming,wyoming,0.631578947368421
2003,AK,0.7470072692211858,Female,689.54,02,Alaska,alaska,0.7470072692211858
2003,AL,0.7032348804500703,Female,500,01,Alabama,alabama,0.7032348804500703
2003,AR,0.7233375156838142,Female,461.2,05,Arkansas,arkansas,0.7233375156838142
